[DEBUG] 2021-10-02 21:38:59,188 com.spartaglobal.sorters.BinaryTree insertRec Comparing node contents to determine optimal branch
[DEBUG] 2021-10-02 21:38:59,188 com.spartaglobal.sorters.BinaryTree insertRec Comparing node contents to determine optimal branch
[DEBUG] 2021-10-02 21:38:59,188 com.spartaglobal.sorters.BinaryTree insertRec Comparing node contents to determine optimal branch
[DEBUG] 2021-10-02 21:38:59,188 com.spartaglobal.sorters.BinaryTree insertRec Creating a new node for the binary tree
[DEBUG] 2021-10-02 21:38:59,189 com.spartaglobal.sorters.BinaryTree insert Inserting a value into a node
[DEBUG] 2021-10-02 21:38:59,189 com.spartaglobal.sorters.BinaryTree insertRec Comparing node contents to determine optimal branch
[DEBUG] 2021-10-02 21:38:59,189 com.spartaglobal.sorters.BinaryTree insertRec Comparing node contents to determine optimal branch
[DEBUG] 2021-10-02 21:38:59,189 com.spartaglobal.sorters.BinaryTree insertRec Comparing node contents to determine optimal branch
[DEBUG] 2021-10-02 21:38:59,189 com.spartaglobal.sorters.BinaryTree insertRec Comparing node contents to determine optimal branch
[DEBUG] 2021-10-02 21:38:59,189 com.spartaglobal.sorters.BinaryTree insertRec Creating a new node for the binary tree
[DEBUG] 2021-10-02 21:38:59,189 com.spartaglobal.sorters.BinaryTree insert Inserting a value into a node
[DEBUG] 2021-10-02 21:38:59,190 com.spartaglobal.sorters.BinaryTree insertRec Comparing node contents to determine optimal branch
[DEBUG] 2021-10-02 21:38:59,190 com.spartaglobal.sorters.BinaryTree insertRec Comparing node contents to determine optimal branch
[DEBUG] 2021-10-02 21:38:59,190 com.spartaglobal.sorters.BinaryTree insertRec Comparing node contents to determine optimal branch
[DEBUG] 2021-10-02 21:38:59,190 com.spartaglobal.sorters.BinaryTree insertRec Creating a new node for the binary tree
[DEBUG] 2021-10-02 21:38:59,190 com.spartaglobal.sorters.BinaryTree insert Inserting a value into a node
[DEBUG] 2021-10-02 21:38:59,190 com.spartaglobal.sorters.BinaryTree insertRec Comparing node contents to determine optimal branch
[DEBUG] 2021-10-02 21:38:59,191 com.spartaglobal.sorters.BinaryTree insertRec Comparing node contents to determine optimal branch
[DEBUG] 2021-10-02 21:38:59,191 com.spartaglobal.sorters.BinaryTree insertRec Comparing node contents to determine optimal branch
[DEBUG] 2021-10-02 21:38:59,191 com.spartaglobal.sorters.BinaryTree insertRec Comparing node contents to determine optimal branch
[DEBUG] 2021-10-02 21:38:59,191 com.spartaglobal.sorters.BinaryTree insertRec Creating a new node for the binary tree
